City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,276.91,96,100,21.45,TF,1718037999
1,kodiak,57.79,-152.4072,279.88,100,100,7.2,US,1718038135
2,bilibino,68.0546,166.4372,282.55,66,100,1.26,RU,1718038039
3,nicoya,10.1483,-85.452,303.23,70,86,1.09,CR,1718038285
4,waitangi,-43.9535,-176.5597,283.05,97,100,0.45,NZ,1718037994
5,san patricio,28.017,-97.5169,307.09,47,25,1.92,US,1718038096
6,iqaluit,63.7506,-68.5145,276.0,60,75,2.57,CA,1718037991
7,adamstown,-25.066,-130.1015,295.81,81,97,7.97,PN,1718038287
8,mezhdurechensk,53.6942,88.0603,284.07,93,1,0.85,RU,1718038287
9,tolanaro,-25.0319,46.9987,292.19,77,75,7.2,MG,1718038287
10,kenai,60.5544,-151.2583,287.05,65,75,4.12,US,1718038287
11,korla,41.7597,86.1469,300.28,26,94,4.95,CN,1718038288
12,constantia,44.1833,28.65,299.65,72,4,7.92,RO,1718038288
13,bakanas,44.8081,76.2772,299.39,36,87,7.69,KZ,1718038288
14,bel ombre,-4.6167,55.4167,301.06,78,20,2.06,SC,1718038289
15,newman,37.3138,-121.0208,297.72,28,0,0.6,US,1718038149
16,tiksi,71.6872,128.8694,273.9,90,19,3.19,RU,1718038289
17,sosnovo-ozerskoye,52.5249,111.5418,283.54,90,92,2.18,RU,1718038290
18,invercargill,-46.4,168.35,277.05,91,91,3.58,NZ,1718038005
19,kruisfontein,-34.0033,24.7314,289.2,51,0,1.97,ZA,1718038027
20,sanctuary point,-35.1114,150.629,282.7,78,98,3.66,AU,1718038290
21,college,64.8569,-147.8028,291.58,62,75,1.54,US,1718038139
22,pipri,19.8,75.5333,302.85,57,96,6.79,IN,1718038291
23,port allen,30.4521,-91.2101,306.56,65,40,2.06,US,1718038188
24,albany,42.6001,-73.9662,293.04,65,62,1.34,US,1718038292
25,olonkinbyen,70.9221,-8.7187,272.11,91,100,6.85,SJ,1718038292
26,stanley,54.868,-1.6985,286.92,82,40,3.6,GB,1718038032
27,nikolayevsk-on-amure,53.1406,140.73,279.94,98,100,1.79,RU,1718038293
28,hasaki,35.7333,140.8333,290.53,81,100,0.99,JP,1718038293
29,edinburgh of the seven seas,-37.0676,-12.3116,287.17,70,32,10.51,SH,1718038293
30,hithadhoo,-0.6,73.0833,301.87,70,93,2.65,MV,1718038293
31,porto torres,40.835,8.3972,297.25,66,3,5.69,IT,1718038294
32,ushuaia,-54.8,-68.3,271.96,80,40,1.54,AR,1718038287
33,papatowai,-46.5619,169.4708,278.86,81,54,7.33,NZ,1718038142
34,blackmans bay,-43.0167,147.3167,283.56,79,100,2.68,AU,1718038295
35,happy valley-goose bay,53.3168,-60.3315,290.32,63,75,6.69,CA,1718038271
36,acapulco de juarez,16.8634,-99.8901,302.05,70,0,3.6,MX,1718038295
37,sicuani,-14.2694,-71.2261,288.8,22,64,2.15,PE,1718038296
38,ilulissat,69.2167,-51.1,275.16,64,40,2.57,GL,1718038296
39,grytviken,-54.2811,-36.5092,267.21,74,43,4.36,GS,1718038296
40,ribeira grande,38.5167,-28.7,294.69,68,75,4.63,PT,1718038296
41,saldanha,-33.0117,17.9442,296.18,52,69,5.66,ZA,1718038297
42,touros,-5.1989,-35.4608,301.86,64,55,8.07,BR,1718038297
43,bubaque,11.2833,-15.8333,300.24,81,87,5.81,GW,1718038178
44,pacasmayo,-7.4006,-79.5714,293.72,72,88,6.15,PE,1718038040
45,talnakh,69.4865,88.3972,279.58,86,27,3.12,RU,1718038151
46,thunder bay,48.4001,-89.3168,291.1,34,20,2.06,CA,1718038056
47,afaahiti,-17.75,-149.2833,296.08,85,100,6.02,PF,1718038276
48,souq larb'a al gharb,34.6866,-6.0027,297.74,55,4,6.13,MA,1718038299
49,thompson,55.7435,-97.8558,291.24,32,75,4.63,CA,1718038299
50,tazovsky,67.4667,78.7,283.61,65,100,5.03,RU,1718038191
51,rhar el melah,37.1694,10.1906,299.98,72,94,4.42,TN,1718038300
52,yellowknife,62.456,-114.3525,286.71,79,100,1.54,CA,1718038300
53,choibalsan,48.0667,114.5,288.88,81,100,3.48,MN,1718038301
54,lautoka,-17.6167,177.4667,292.07,88,20,1.54,FJ,1718038301
55,yuzhno-kurilsk,44.0306,145.8556,284.47,93,100,2.44,RU,1718038146
56,tazacorte,28.629,-17.9293,295.45,80,75,6.17,ES,1718038301
57,atafu village,-8.5421,-172.5159,301.44,77,24,6.41,TK,1718038183
58,labrador city,52.9463,-66.9114,296.03,41,40,5.66,CA,1718038210
59,retreat,38.8245,-85.8533,293.12,64,26,2.24,US,1718038302
60,kailua-kona,19.6406,-155.9956,298.13,80,75,2.57,US,1718038095
61,namibe,-15.1961,12.1522,293.52,84,3,4.41,AO,1718038112
62,isafjordur,66.0755,-23.124,278.17,87,20,4.63,IS,1718038003
63,avarua,-21.2078,-159.775,295.18,56,82,3.6,CK,1718038303
64,castanos,26.7833,-101.4167,301.43,36,75,8.23,MX,1718038304
65,saint-pierre,-21.3393,55.4781,295.97,68,20,5.14,RE,1718038151
66,shingu,33.7333,135.9833,291.3,93,81,1.96,JP,1718038305
67,kingston,17.997,-76.7936,305.46,70,20,10.29,JM,1718038049
68,aasiaat,68.7098,-52.8699,273.86,79,81,3.36,GL,1718038289
69,gurupi,-11.7292,-49.0686,307.48,27,31,3.34,BR,1718038306
70,lompoc,34.6391,-120.4579,288.23,84,100,3.09,US,1718038306
71,kantunilkin,21.0917,-87.45,310.58,35,65,3.47,MX,1718038306
72,kayangel,8.0823,134.7173,301.94,75,85,2.5,PW,1718038306
73,teknaf,20.8624,92.3058,301.7,89,96,2.14,BD,1718038307
74,colchani,-20.3,-66.9333,281.19,25,71,3.66,BO,1718038217
75,zapolyarnyy,69.4154,30.8136,279.75,74,97,3.62,RU,1718038307
76,fale old settlement,-9.3852,-171.2468,301.83,76,31,7.21,TK,1718038032
77,mount gambier,-37.8333,140.7667,287.73,74,100,7.08,AU,1718038308
78,vila velha,-20.3297,-40.2925,302.12,99,20,4.63,BR,1718038197
79,fort st. john,56.2499,-120.8529,286.09,62,75,1.54,CA,1718038309
80,carolina beach,34.0352,-77.8936,298.16,85,100,0.62,US,1718038050
81,reggane,26.7158,0.1714,318.22,7,54,3.83,DZ,1718038275
82,novodmitriyevskaya,44.8347,38.8772,299.11,64,52,1.47,RU,1718038310
83,avellaneda,-29.1176,-59.6583,300.26,50,7,2.33,AR,1718038310
